geo_point_2d,geo_shape,gml_id,objectid,accident,unite_pv,date,heure,jsem,code_insee,inter,adresse,pr,nomv,numvro,pr_2,nomv_2,numvro_2,vehicule1,vehicule2,vehicule3,vehicule4,vehicule5,vehicule6,usager1,usager2,usager3,usager4,usager5,usager6,usager7,usager8,ntu,nbh,nbnh,wms_time,id
"48.101822157590234,-1.6844016601919816","{""coordinates"": [-1.684401660191982, 48.101822157590234], ""type"": ""Point""}",accident.3788,3788,84,Sécurité publique 0035238 00451,2015-11-04,08:30,Mercredi,35238,à plus de 4 branches,CARREFOUR NITSCH,,Carrefour Georges Nitsch,0,,Boulevard Georges Pompidou,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2015-01-01,34
"48.11424899904998,-1.6073720000055394","{""coordinates"": [-1.607372000005539, 48.11424899904998], ""type"": ""Point""}",accident.3792,3792,66552916,SP/35238/50,2020-02-03,09:30,Lundi,35051,En T,PARIS (RUE DE),0+0,PARIS (RUE DE),,0+0,PARIS (RUE DE),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2020-01-01,35
"48.09029356458373,-1.6927318081969378","{""coordinates"": [-1.692731808196938, 48.09029356458373], ""type"": ""Point""}",accident.3811,3811,63479564,SP/35238/257,2019-07-08,17:15,Lundi,35281,En X,ALBERT 1ER (BD),0+0,ALBERT 1ER (BD),,0+0,ALBERT 1ER (BD),,Bicyclette,Véhicule de tourisme (VT),,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,36
"48.112469999046944,-1.6662100000014952","{""coordinates"": [-1.666210000001495, 48.112469999046944], ""type"": ""Point""}",accident.3884,3884,66514691,SP/35238/6,2020-01-08,07:45,Mercredi,35238,En X,PARIS (RUE DE),0+0,PARIS (RUE DE),,0+0,PARIS (RUE DE),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2020-01-01,37
"48.11184501310643,-1.6464021801446742","{""coordinates"": [-1.646402180144674, 48.11184501310643], ""type"": ""Point""}",accident.5379,5379,2928,Sécurité publique 0035238 00247,2017-05-31,20:00,Mercredi,35238,Giratoire,"00, CHATEAU (AVENUE FRAN",,,0,,,0.0,Bicyclette,Autobus,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2017-01-01,38
"48.08469999847039,-1.6609100068741782","{""coordinates"": [-1.660910006874178, 48.08469999847039], ""type"": ""Point""}",accident.5431,5431,2580,Sécurité publique 0035238 00166,2012-04-03,16:45,Mardi,35238,En T,PAYS BAS/BULGARIE,,AVENUE DES PAYS BAS,0,,BOULEVARD DE BULGARIE,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,39
"48.09744549455492,-1.6936489333188138","{""coordinates"": [-1.693648933318814, 48.09744549455492], ""type"": ""Point""}",accident.5616,5616,834,Sécurité publique 0035238 00315,2013-07-26,19:00,Vendredi,35238,hors intersection,BD P.MENDÈS FRANCE,,Boulevard Pierre Mendès-France,0,,,0.0,Bicyclette,,,,,,Conducteur,,,,,,,,0,0,1,2013-01-01,40
"48.1053032476107,-1.650515557089494","{""coordinates"": [-1.650515557089494, 48.1053032476107], ""type"": ""Point""}",accident.5637,5637,2321,Sécurité publique 0035238 00118,2012-03-08,13:30,Jeudi,35238,hors intersection,57 BD VILLEBOIS MAREUIL,,BOULEVARD VILLEBOIS-MAREUIL,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,41
"48.109999790366324,-1.6597213621464049","{""coordinates"": [-1.659721362146405, 48.109999790366324], ""type"": ""Point""}",accident.5639,5639,2427,Sécurité publique 0035238 00331,2012-07-05,09:12,Jeudi,35238,hors intersection,PARKING MAGINOT,,Avenue Sergent Maginot,0,,,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,42
"48.24403656922801,-1.8816701946598624","{""coordinates"": [-1.881670194659862, 48.24403656922801], ""type"": ""Point""}",accident.5674,5674,3760,Gendarmerie Nationale 0071153 01204,2018-06-29,13:45,Vendredi,35245,hors intersection,LE CASSE,,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2018-01-01,43
"48.182080010396376,-1.640619949912231","{""coordinates"": [-1.640619949912231, 48.182080010396376], ""type"": ""Point""}",accident.5699,5699,1107,Gendarmerie Nationale 0015627 01703,2016-08-28,20:15,Dimanche,35024,hors intersection,AVENUE D'ARMORIQUE,,,0,,,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2016-01-01,44
"48.099294593253475,-1.6943326592439492","{""coordinates"": [-1.694332659243949, 48.099294593253475], ""type"": ""Point""}",accident.228,228,90235,SP/35238/272,2021-07-31,08:45,Samedi,35238,hors intersection,BERNARD (CLAUDE),N/C,BERNARD (CLAUDE),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2021-01-01,45
"48.09105963163795,-1.6786048149687602","{""coordinates"": [-1.67860481496876, 48.09105963163795], ""type"": ""Point""}",accident.230,230,94082,SP/35238/298,2021-08-26,14:15,Jeudi,35238,hors intersection,CHALAIS (SQUARE DES HAUTES),N/C,CHALAIS (SQUARE DES HAUTES),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2021-01-01,46
"48.112269998225514,-1.693259986772807","{""coordinates"": [-1.693259986772807, 48.112269998225514], ""type"": ""Point""}",accident.1511,1511,2274,Sécurité publique 0035238 00461,2016-10-31,14:12,Lundi,35238,hors intersection,"37, RUE VANEAU",,VANEAU,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,47
"48.10886709986981,-1.6737398570166746","{""coordinates"": [-1.673739857016675, 48.10886709986981], ""type"": ""Point""}",accident.1627,1627,420,Sécurité publique 0035238 00324,2014-06-27,15:15,Vendredi,35238,En T,JANVIER/DUHAMEL,,Avenue Jean Janvier,1,0000+0000,Rue Jean-Marie Duhamel,1.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2014-01-01,48
"48.13503998637301,-1.6208599429416333","{""coordinates"": [-1.620859942941633, 48.13503998637301], ""type"": ""Point""}",accident.1785,1785,1240,Sécurité publique 0035238 00095,2016-03-07,08:50,Lundi,35051,Giratoire,"00, BLANCS (AVENUE DES C",,BLANCS (AVENUE DES CHAMPS),0,,ADER (RUE CLEMENT),0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2016-01-01,49
