Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_usager,id_vehicule_x,num_veh_x,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,id_vehicule_y,num_veh_y,senc,catv,obs,obsm,choc,manv,motor,occutc
202200036496,20,8,2022,11:40,1,66,66008,1,6,1,3,,"42,5401330000","3,0367980000",3,114,0,D,1,1,1,1,3,817,2,, -1,1,9,1,80,1 012 914,748 913,B01,1,1,3,2,1965.0,5,0,-1,-1,0,0,-1,748 913,B01,2,1,0,2,0,15,5,
202200036496,20,8,2022,11:40,1,66,66008,1,6,1,3,,"42,5401330000","3,0367980000",3,114,0,D,1,1,1,1,3,817,2,, -1,1,9,1,80,1 012 917,748 916,A01,1,1,1,2,2004.0,5,1,-1,-1,0,0,-1,748 913,B01,2,1,0,2,0,15,5,
202200036502,13,7,2022,17:30,1,67,67482,2,3,1,3,HOCHFELDEN (RUE DE),"48,5953200000","7,7277500000",4,HOCHFELDEN (RUE DE),0,,2,4,3,1,(1),(1),3,, -1,1,5,1,50,1 012 903,748 904,B01,1,1,4,1,2001.0,0,8,0,-1,-1, -1,-1,748 904,B01,2,1,0,2,1,1,5,
202200036502,13,7,2022,17:30,1,67,67482,2,3,1,3,HOCHFELDEN (RUE DE),"48,5953200000","7,7277500000",4,HOCHFELDEN (RUE DE),0,,2,4,3,1,(1),(1),3,, -1,1,5,1,50,1 012 910,748 908,A01,1,1,1,1,1966.0,5,1,8,-1,-1, -1,-1,748 904,B01,2,1,0,2,1,1,5,
202200036516,26,8,2022,07:45,1,85,85222,2,6,1,3,RD38B,"46,7012930000"," -1,9341190000",3,,2,,1,1,0,1,4,100,2,, -1,1,5,1,80,1 012 869,748 876,A01,1,1,1,1,1962.0,4,1,-1,-1,0,0,-1,748 877,B01,2,1,0,2,7,1,5,
202200036516,26,8,2022,07:45,1,85,85222,2,6,1,3,RD38B,"46,7012930000"," -1,9341190000",3,,2,,1,1,0,1,4,100,2,, -1,1,5,1,80,1 012 870,748 877,B01,1,1,3,1,1941.0,5,2,-1,-1,0,0,-1,748 877,B01,2,1,0,2,7,1,5,
202200036531,15,7,2022,15:15,1,59,59599,2,1,1,3,YSER (RUE DE L'),"50,7446260000","3,1737610000",4,YSER (RUE DE L'),0,,2,2,1,1,(1),(1),2,, -1,1,0,5,50,1 012 840,748 851,A01,1,1,1,1,1975.0,3,8,0,-1,-1, -1,-1,748 855,B01,2,1,0,2,8,2,5,
202200036531,15,7,2022,15:15,1,59,59599,2,1,1,3,YSER (RUE DE L'),"50,7446260000","3,1737610000",4,YSER (RUE DE L'),0,,2,2,1,1,(1),(1),2,, -1,1,0,5,50,1 012 843,748 855,B01,1,1,4,2,2001.0,5,8,0,-1,-1, -1,-1,748 855,B01,2,1,0,2,8,2,5,
202200036561,17,1,2022,15:30,1,62,62318,2,9,1,6,Boulevard Imperatrice,"50,5158340000","1,6338150000",3,,-1,,-1,1,0,1,24,100,1,,3,1,6,4,-1,1 012 766,748 795,A01,10,3,4,2,1943.0,5,0,-1,-1,5,9,1,748 795,A01,1,1,0,1,0,2,5,
202200036561,17,1,2022,15:30,1,62,62318,2,9,1,6,Boulevard Imperatrice,"50,5158340000","1,6338150000",3,,-1,,-1,1,0,1,24,100,1,,3,1,6,4,-1,1 012 767,748 795,A01,1,1,1,1,1948.0,5,8,-1,-1,0,0,-1,748 795,A01,1,1,0,1,0,2,5,
202200036579,27,2,2022,08:00,1,971,97101,1,1,1,6,RN11,"16,2733700000"," -61,5171800000",2,RN11,0,,1,2,0,1,(1),(1),1,, -1,1,0,1,110,1 012 722,748 760,B01,1,1,3,1,1995.0,5,2,0,-1,-1, -1,-1,748 760,B01,2,1,0,2,0,1,5,
202200036579,27,2,2022,08:00,1,971,97101,1,1,1,6,RN11,"16,2733700000"," -61,5171800000",2,RN11,0,,1,2,0,1,(1),(1),1,, -1,1,0,1,110,1 012 722,748 760,B01,1,1,3,1,1995.0,5,2,0,-1,-1, -1,-1,748 763,A01,2,1,14,2,0,1,5,
202200036579,27,2,2022,08:00,1,971,97101,1,1,1,6,RN11,"16,2733700000"," -61,5171800000",2,RN11,0,,1,2,0,1,(1),(1),1,, -1,1,0,1,110,1 012 724,748 763,A01,1,1,4,1,1971.0,5,2,8,-1,-1, -1,-1,748 760,B01,2,1,0,2,0,1,5,
202200036579,27,2,2022,08:00,1,971,97101,1,1,1,6,RN11,"16,2733700000"," -61,5171800000",2,RN11,0,,1,2,0,1,(1),(1),1,, -1,1,0,1,110,1 012 724,748 763,A01,1,1,4,1,1971.0,5,2,8,-1,-1, -1,-1,748 763,A01,2,1,14,2,0,1,5,
202200036605,15,7,2022,22:30,5,33,33063,2,3,1,3,Quai des Chartrons,"44,8555800000"," -0,5635500000",4,CHARTRONS (QUAI DES),0,,3,4,0,1,(1),(1),1,, -1,1,5,1,50,1 012 670,748 717,B01,1,1,1,1,2001.0,5,1,-1,-1,-1, -1,-1,748 722,A01,3,1,0,2,1,19,5,
202200036605,15,7,2022,22:30,5,33,33063,2,3,1,3,Quai des Chartrons,"44,8555800000"," -0,5635500000",4,CHARTRONS (QUAI DES),0,,3,4,0,1,(1),(1),1,, -1,1,5,1,50,1 012 675,748 722,A01,1,1,4,2,1989.0,5,0,-1,-1,-1, -1,-1,748 722,A01,3,1,0,2,1,19,5,
202200036611,15,7,2022,02:20,5,33,33529,2,1,1,6,OCEAN (BD DE L'),"44,6303800000"," -1,2026310000",3,OCEAN (BD DE L'),0,,2,2,1,1,5,425,1,, -1,1,0,5,50,1 012 656,748 709,A01,10,3,4,2,1999.0,5,0,-1,-1,1,1,2,748 709,A01,1,1,0,1,1,1,5,
