Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infrasituenv1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200900020896,9,9,27,1510,1,2,1,1.0,6,112,AVENUE DE LA PORTE DE CH,,,,750.0,4,0.0,,,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,6400.0,,3,4,1,5.0,,5.0,9.0,1.0,1955.0,Z01,1,1,0,0.0,1.0,0.0,1.0,Z01
200900020903,9,9,27,1815,1,2,1,1.0,2,118,AVENUE DE LA PORTE DE LA,,,,750.0,4,0.0,,,2.0,6.0,,,0.0,2.0,1.0,0.0,120.0,1.0,3199.0,1.0,1,4,1,5.0,23.0,0.0,0.0,0.0,1981.0,B01,0,1,0,0.0,2.0,4.0,2.0,B01
200900020905,9,9,27,2000,5,2,1,1.0,2,117,0, BOULEVARD PERSHING,,,750.0,4,0.0,,,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,199.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1982.0,A01,0,1,0,0.0,2.0,4.0,12.0,A01
200900020908,9,9,26,420,5,2,2,1.0,7,120,RUE DE LA BIDASSOA,,,,750.0,4,0.0,,,0.0,1.0,,,0.0,2.0,1.0,0.0,30.0,1.0,6003.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1983.0,A01,0,1,0,0.0,0.0,0.0,1.0,A01
200900020917,9,9,26,1350,1,2,2,1.0,2,120,0, RUE DES RASSELINS,,,750.0,4,0.0,,,0.0,0.0,,,0.0,1.0,1.0,0.0,70.0,1.0,6003.0,1.0,1,4,2,5.0,23.0,0.0,0.0,0.0,1996.0,B01,0,1,0,0.0,0.0,6.0,23.0,B01
200900020933,9,9,26,2315,5,2,1,1.0,6,108,85, RUE D AMSTERDAM,,,750.0,4,0.0,,,1.0,1.0,,,0.0,2.0,1.0,0.0,40.0,1.0,100.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1977.0,A01,0,1,0,0.0,2.0,0.0,14.0,A01
200900020952,9,9,29,620,5,2,1,1.0,3,120,84, RUE DES HAIES,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,40.0,1.0,100.0,1.0,1,4,1,1.0,41.0,0.0,0.0,0.0,1957.0,B01,0,1,0,1.0,0.0,3.0,18.0,B01
200900020960,9,9,29,1410,1,2,2,1.0,5,108,AVENUE DES CHAMPS ELYSEE,,,,750.0,4,0.0,,,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,150.0,1.0,100.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1960.0,C01,0,1,0,0.0,2.0,1.0,1.0,C01
200900020964,9,9,29,1455,1,2,2,1.0,2,119,120, AVENUE DE FLANDRE,,,750.0,4,0.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,100.0,1.0,6100.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1970.0,A01,0,1,0,0.0,9.0,7.0,0.0,A01
200900020972,9,9,29,2055,5,2,1,1.0,3,110,58, BOULEVARD DE MAGENTA,,,750.0,4,0.0,,,2.0,4.0,,,1.0,1.0,1.0,0.0,140.0,1.0,599.0,1.0,1,1,1,1.0,23.0,0.0,0.0,0.0,1974.0,A01,0,1,0,15.0,9.0,0.0,1.0,A01
